student_id,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,sixth_choice,seventh_choice,eight_choice,ninth_choice,tenth_choice,assigned_group
0,6,4,1,10,3,9,7,2,5,8,4
1,6,8,10,7,2,4,9,5,1,3,6
2,7,5,6,8,1,3,9,2,4,10,7
3,10,4,6,1,9,2,3,7,8,5,10
4,1,7,5,2,3,6,10,4,8,9,1
5,10,6,8,9,4,1,3,7,2,5,10
6,9,5,6,7,2,3,4,1,8,10,7
7,10,4,2,7,8,3,1,9,5,6,10
8,8,5,9,10,2,6,3,1,7,4,8
9,3,1,5,10,4,9,6,8,2,7,3
10,1,3,9,10,5,4,7,8,2,6,3
11,6,1,2,5,10,8,9,7,3,4,2
12,1,2,7,6,4,5,9,8,3,10,1
13,5,8,2,9,6,4,3,1,7,10,5
14,10,6,2,9,3,8,7,1,5,4,10
15,8,6,4,1,5,9,3,10,2,7,8
16,8,7,6,2,3,9,10,1,5,4,9
17,1,9,10,6,7,2,3,5,4,8,1
18,8,5,9,3,4,6,10,2,7,1,8
19,6,9,8,3,7,4,1,10,5,2,6
20,3,5,9,4,6,1,2,10,7,8,3
21,5,7,1,10,8,2,3,6,9,4,5
22,9,2,6,3,5,4,8,1,10,7,9
23,10,4,2,1,3,6,9,7,5,8,10
24,9,2,6,3,5,10,1,4,8,7,2
25,4,9,2,5,6,7,8,1,10,3,4
26,2,4,1,3,7,9,5,10,8,6,2
27,8,2,10,7,9,3,6,5,1,4,2
28,8,6,1,7,9,5,2,10,4,3,8
29,1,8,9,2,7,4,5,3,10,6,1
30,9,8,3,6,4,7,5,2,1,10,9
31,7,8,4,2,1,6,3,10,5,9,7
32,9,2,6,3,1,8,5,7,4,10,2
33,9,2,6,1,3,7,10,5,4,8,9
34,6,5,8,1,10,7,2,9,3,4,5
35,6,10,2,7,5,8,4,1,9,3,6
36,6,8,5,2,4,10,7,3,1,9,6
37,4,9,2,5,6,1,3,10,7,8,4
38,7,5,8,1,2,9,4,10,6,3,7
39,6,9,2,3,5,4,1,8,10,7,6
40,5,8,4,2,7,3,10,6,1,9,5
41,4,9,2,3,1,5,6,10,8,7,4
42,5,7,3,9,6,8,10,4,2,1,5
43,1,6,9,8,4,3,5,2,7,10,1
44,9,8,3,5,6,7,2,4,1,10,9
45,5,2,3,6,8,1,7,9,10,4,3
46,5,10,6,1,4,2,3,8,9,7,8
